query_group,search_term,title,description,subject,dataProvider,type,country
geographic,India,India misteriosa,,,Cineteca di Bologna,TEXT,['Italy']
geographic,India,"L' India, l'isola di Seilan (India cisgangetica)",,,Marciana National Library,IMAGE,['Italy']
geographic,India,India favolosa,,,Cineteca di Bologna,TEXT,['Italy']
geographic,India,Hotel India,ground plan,,https://uri.hr/indigo/org:muo,IMAGE,['Croatia']
geographic,India,Hotel India,perspective view of the facade,,https://uri.hr/indigo/org:muo,IMAGE,['Croatia']
geographic,India,INDIA ELEGANTE,Registration of the title at the foot of the image,,National Library of Spain,TEXT,['Spain']
geographic,India,"nuova India
				                 
				                 New India",,,Cineteca di Bologna,TEXT,['Italy']
geographic,India,West India Docks,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,West India Docks,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,Emp of India,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,"New India or, India in transition",Popular ed.,,"Bodleian Libraries, University of Oxford",TEXT,['United Kingdom']
geographic,India,East India Lighter,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,Scarcity in India,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,East India House,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,Nell'India misteriosa,,,Internet Culturale,SOUND,['Italy']
geographic,India,India [Unidentified Film],"The film is shot in India in the early twentieth century (?), and displays boys performing several contortion tricks, musicians playing traditional instruments and a fakir juggling. The crowd rushes to the river of the Ganges.
				 The video is a copy from the film print held by the Museo Nazionale del Cinema: 35mm, positive, acetate, 473 m, black and white, without intertitles, silent.",,National Museum of Cinema,VIDEO,['Italy']
geographic,India,Isole dell'India,,,Marciana National Library,IMAGE,['Italy']
geographic,India,[Map of India],"Barev. 26 x 33 cm na listech 36 x 42 cm Měřítko [ca 1:2 200 000]. 7,3 cm = 100 British Miles (067°51´05&quot; v.d.--092°35´33&quot; v.d./033°30´17&quot; s.š.--005°39´34&quot; s.š.)",,Map Collection UK,IMAGE,['Czech Republic']
geographic,India,India,,,Digital Memory of Catalonia,IMAGE,['Spain']
geographic,India,India: Série de valsas,Monografia,,National Library of Portugal,TEXT,['Portugal']
geographic,India,India - Matri Bhumi\ n\ t\ n\ t India - Matribhuni.,,,Cineteca di Bologna,TEXT,['Italy']
geographic,India,India,"Harta a fost creată în anul 1635, în perioada de apogeu a școlii cartografice olandeze, secolul al XVII-lea fiind supranumit “secolul de aur"". Reprezintă India, identificată de autor cu însuși Orientul",,Brașov County History Museum,IMAGE,['Romania']
geographic,India,India,"Lettering: The manufacture of opium in India. photo: Bourne & Shepherd, Calcutta.",,Wellcome Collection,IMAGE,['United Kingdom']
geographic,India,India :,,,International Institute of Social History,IMAGE,['Netherlands']
geographic,India,Gateway of India,"Reisefotos. Bombay. Gateway of India. Errichtet zur Erinnerung an den Besuch König Georg V. von Großbritannien in Indien 1911, wo er in Delhi zum Kaiser von Indien gekrönt wurde",,Deutsche Fotothek,IMAGE,['Germany']
geographic,India,India,Border Regiment in India,,Cumbria Archives and Local Studies Department,IMAGE,['United Kingdom']
geographic,India,India,Border Regiment Police in India,,Cumbria Archives and Local Studies Department,IMAGE,['United Kingdom']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,"Fotografens notering: ""India"".","Fotografens notering: ""India"".",,Bohuslän Museum,IMAGE,['Sweden']
geographic,India,Fascinating India 3D,"German movie poster of ""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Suicides in India,"Across the world, India has the highest suicide rate: one out of every three suicides is committed on the subcontinent. That's according to a decade-long study recently published by the World Health Organization or WHO. The report says that some 250,000 people killed themselves in India in 2012 alone. Report: Murali Krishnan, New Delhi",,Deutsche Welle,SOUND,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,India Una cattedrale,,,Cinecittà - Luce,IMAGE,['Italy']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Fascinating India 3D,"""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Telenotícies,India successfully launches its first nuclear-capable intercontinental missile. It has enough scope to reach Beijing and Shanghai.,,TV3 Catalan Television,VIDEO,['Spain']
geographic,India,Fascinating India 3D,"German movie poster of ""Fascinating India 3D"" (2013/14)",,DFF – German Film Institute & Film Museum,IMAGE,['Germany']
geographic,India,Volo in India.,Un viaggio attraverso l'India alla scoperta delle sue bellezze artistiche e naturali.,,Cinecittà - Luce,VIDEO,['Italy']
geographic,India,[Índia],Viatge familiar a l'Índia.,,Ajuntament de Girona,VIDEO,['Spain']
geographic,India,India a market,,,Cinecittà - Luce,IMAGE,['Italy']
geographic,India,Fico d'india,"Achille Manzotti presents Fico d'India. Renato Pozzetto, Aldo Maccione, Gloria Dei, directed by Steno. Titanus, director of photography: Carlo Carlini, music by Giancarlo Chiaramello, music editions Nationalmusic Milano, an Intercontinental film company production, color of Telecolor",,Provincial Library Magna Capitana,IMAGE,['Italy']
geographic,India,India's viral storm,"More than 200 deaths from swine flu have been recorded in just over a month. The respiratory disease - H1N1 - has broken out across the country with more than 5,000 people infected.",,Deutsche Welle,SOUND,['Germany']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,El positivado está pegado sobre una cartulina con información diversa.,,Spanish National Research Council,IMAGE,['Spain']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,,,"Ethnological Museum, Staatliche Museen zu Berlin",IMAGE,['Germany']
geographic,India,India,"Barev.
28 x 36 cm, na listu 38 x 43 cm
Měřítko 1:12 165 120
(064°30´33&quot; v.d.--096°48´01&quot; v.d./034°17´53&quot; s.š.--005°08´11&quot; s.š.)",,Map Collection UK,IMAGE,['Czech Republic']
geographic,India,India,,,Internet Culturale,SOUND,['Italy']
geographic,India,India,,,Internet Culturale,SOUND,['Italy']
geographic,India,India,"Characters and interpreters: Banjo; Frisell, Bill. Guitar; Frisell, Bill",,Internet Culturale,SOUND,['Italy']
geographic,India,India.,"Litografie, kolor.
28,5 x 37 cm na listu 31 x 38,5 cm
Měřítko [ca 1:19 000 000]. 5,9 cm = 150 milliaria germania = 6 000 stadia
(066°05´37&quot; v.d.--136°19´06&quot; v.d./033°17´04&quot; s.š.--014°10´45&quot; j.š.)",,Map Collection UK,IMAGE,['Czech Republic']
